,Gene
1016,PDGFA
1017,ATF4
1018,KCTD10
1019,IL25
1020,SIK2
1021,AQP8
1022,PRCP
1023,ADA
1024,TNFSF9
1025,IL9R
1026,LTBP1
1027,SH3TC2
1028,RUNX3
1029,CC2D1A
1030,ZBTB48
1031,SAC3D1
1032,SNX17
1033,PDE2A
1034,XPA
1035,PDCD6
1036,UQCC1
1037,WAPL
1038,IRS2
1039,PHEX
1040,TOR3A
1041,TRMT1L
1042,CYP20A1
1043,KCNB1
1044,ZSWIM6
1045,MAOA
1046,IRF3
1047,KCNT2
1048,TBX2
1049,SORD
1050,GDF6
1051,SAT2
1052,INVS
1053,DDR2
1054,RECK
1055,CD209
1056,RNF187
1057,BCOR
1058,CD320
1059,VWA8
1060,UBR3
1061,CXCL2
1062,GABBR2
1063,MC1R
1064,PIK3CD
1065,TBX3
1066,CLN3
1067,AFF2
1068,DMPK
1069,MYO1D
1070,BLVRA
1071,UTS2
1072,CENPV
1073,STEAP1
1074,GLT8D2
1075,CCL27
1076,PWP1
1077,NR1I3
1078,GABRD
1079,CACNA2D1
1080,ASPM
1081,AEBP1
1082,BRD3
1083,SSTR4
1084,FOLR1
1085,METTL2A
1086,LGMN
1087,PTPRU
1088,ALDH7A1
1089,OPRPN
1090,COBLL1
1091,PLA2G4A
1092,WDR26
1093,DLK1
1094,PSMD4
1095,S100A3
1096,TRIM5
1097,TNNT2
1098,PDK1
1099,PIEZO2
1100,TOP1MT
1101,ERFE
1102,HSDL1
1103,STK35
1104,STRIP2
1105,F5
1106,HEXIM1
1107,GLOD4
1108,PRKRA
1109,TCP1
1110,NCR2
1111,AAR2
1112,MTR
1113,FOXC2
1114,IRF2BP1
1115,HPRT1
1116,MRAP2
1117,TIAM2
1118,TRPC1
1119,TANGO2
1120,IFNG
1121,IPP
1122,CUL2
1123,GANC
1124,ARFIP1
1125,ENOX1
1126,ABCC4
1127,KLK10
1128,SF3A1
1129,FAT1
1130,IGSF9B
1131,CFDP1
1132,DBR1
1133,UBA1
1134,MCM4
1135,ATOH7
1136,PLEKHH2
1137,FGFBP2
1138,AXIN1
1139,KPNA1
1140,SNX30
1141,PDGFRB
1142,CCDC113
1143,ANKRD13A
1144,CBX7
1145,RASSF5
1146,FANCI
1147,ANO3
1148,BCL6
1149,ACTN2
1150,LY9
1151,FAM76B
1152,FZD9
1153,BAP1
1154,CAND1
1155,ARL4D
1156,CSF3R
1157,NPC1L1
1158,PPFIA4
1159,RBM10
1160,CHRNA3
1161,FH
1162,MPDU1
1163,STK4
1164,CDKN2AIP
1165,PTH
1166,WDR55
1167,PAK4
1168,CNST
1169,ETS1
1170,SLC22A9
1171,FZD3
1172,HTR3A
1173,PLD2
1174,AURKC
1175,RBPMS
1176,NLRP6
1177,SMARCAD1
1178,SCIN
1179,TRIB3
1180,CHRNA2
1181,TIPARP
1182,XPC
1183,ADRA1D
1184,CR2
1185,ALG2
1186,IRF8
1187,SECISBP2L
1188,CMTM8
1189,EPHX1
1190,PGGT1B
1191,DIO2
1192,BRINP1
1193,ERAP1
1194,LIMK1
1195,PNOC
1196,ERCC2
1197,TMTC4
1198,CREB3
1199,SCNN1G
1200,SRD5A2
1201,SYTL2
1202,TNFRSF9
1203,LMNB1
1204,THEM6
1205,TNFRSF10C
1206,TOMM34
1207,LBX1
1208,FAF2
1209,TNFSF14
1210,CARM1
1211,TADA2A
1212,NMNAT1
1213,FZD6
1214,HAS2
1215,ALG11
1216,NXF3
1217,HMGN3
1218,MAGI3
1219,ATL1
1220,VDR
1221,TOR1A
1222,KANK2
1223,SLC39A8
1224,CSNK1G1
1225,CDKN1A
1226,SIRPB1
1227,ANKHD1
1228,TPBG
1229,YWHAZ
1230,ATP1A1
1231,YTHDF1
1232,LILRB1
1233,MSH6
1234,TMEM237
1235,CHKA
1236,EHF
1237,BVES
1238,HMOX1
1239,CD1B
1240,CDKN2B
1241,CRH
1242,CLTC
1243,KAT2B
1244,SCGB1D2
1245,CCL14
1246,RAI14
1247,WDR90
1248,BIRC7
1249,NEDD4
1250,PTPN5
1251,SMYD3
1252,GUCY2C
1253,NFE2L3
1254,SDHAF3
1255,ITGB3
1256,API5
1257,ADCYAP1
1258,NDUFA3
1259,NGFR
1260,ZNF512
1261,GNB3
1262,DLL1
1263,SLC22A8
1264,MAP4K5
1265,SATB1
1266,ICAM5
1267,INPP4B
1268,SLC6A9
1269,BAG3
1270,CD84
1271,KCNC1
1272,RPA3
1273,MAP2K1
1274,ATP5F1C
1275,CRTAM
1276,XBP1
1277,CD247
1278,CIP2A
1279,GUSB
1280,KLK6
1281,PRF1
1282,ATP2B1
1283,CCN2
1284,KPNA3
1285,EVI5
1286,CCDC51
1287,HNRNPLL
1288,ANO1
1289,KLHL24
1290,KCNQ2
1291,MCM6
1292,ART1
1293,PRKD3
1294,GRAMD2B
1295,DKK1
1296,MYLK
1297,FGF2
1298,E2F4
1299,OLIG1
1300,WDR72
1301,TNFSF13B
1302,CCR1
1303,LACC1
1304,ELN
1305,BTLA
1306,TFR2
1307,SESN2
1308,FADS1
1309,FAS
1310,CBLB
1311,LSM12
1312,UCN
1313,IL17RA
1314,ADAM28
1315,IL17A
1316,DDX21
1317,ARID1A
1318,HGS
1319,CP
1320,CNIH4
1321,HCK
1322,GABRA2
1323,RNF112
1324,RAD18
1325,AGXT
1326,ADRB1
1327,MYH13
1328,FZD1
1329,GNB1L
1330,DDX3X
1331,LAIR2
1332,SLAMF8
1333,GAS6
1334,IRS1
1335,CPZ
1336,SOD1
1337,SH2D3C
1338,STRN3
1339,POLR2E
1340,CD70
1341,CD180
1342,CADM4
1343,MPPED2
1344,SELE
1345,MTA2
1346,TNFRSF1B
1347,H2AFX
1348,OSM
1349,NUP214
1350,EXOSC10
1351,MKX
1352,NTNG2
1353,PITX1
1354,XRCC1
1355,GRK5
1356,DNAH9
1357,GMPS
1358,FAF1
1359,TSHZ1
1360,STIM2
1361,HMGB2
1362,TMEFF2
1363,BTN3A1
1364,THUMPD3
1365,CPNE9
1366,PRDM10
1367,PPID
1368,COL4A4
1369,MEIOB
1370,KLRD1
1371,PAM
1372,DAOA
1373,KDM6A
1374,CREBBP
1375,ODF2L
1376,TRAF2
1377,NLRC5
1378,RFTN1
1379,SNX19
1380,PPP3CA
1381,RORB
1382,MYD88
1383,ITK
1384,ZBTB40
1385,CYP7A1
1386,INSR
1387,SP140
1388,CCDC77
1389,LTB4R
1390,UGT1A4
1391,P2RY2
1392,FLNB
1393,LPAR1
1394,EDA
1395,EPHA1
1396,THBS1
1397,TMEM123
1398,CNRIP1
1399,ADAM33
1400,NAT1
1401,ACLY
1402,LIPF
1403,ADCYAP1R1
1404,HTATIP2
1405,ITGAX
1406,ADAMTS5
1407,MRGPRX2
1408,ITGB1BP2
1409,PYGL
1410,CELSR2
1411,STAP1
1412,ENPP1
1413,LIG4
1414,SLC1A2
1415,SPANXB1
1416,DHDDS
1417,SHMT2
1418,SCARB1
1419,DOK5
1420,NODAL
1421,PDE10A
1422,TOX2
1423,TRIM25
1424,TRAF1
1425,IL6R
1426,PASD1
1427,ZC4H2
1428,PAPPA2
1429,IL15RA
1430,IKZF4
