,Gene
560,BUB1B
561,MTHFR
562,MYEF2
563,ABTB1
564,OCM2
565,FASLG
566,DNM2
567,OGG1
568,SLC29A1
569,RCAN2
570,FAM193A
571,PSMD3
572,BRCA1
573,PIK3C3
574,TSPAN9
575,SNX4
576,NRXN2
577,FAM161A
578,TLR4
579,ZCCHC2
580,RASGRP1
581,CLGN
582,MAGEB2
583,OAS1
584,SFRP4
585,IFNG
586,FCGBP
587,LIPC
588,PGF
589,NEBL
590,EIF2AK3
591,MCM4
592,SIK3
593,TMEM45B
594,COL2A1
595,NCS1
596,BAIAP2
597,RBPJ
598,CPEB1
599,SLC25A39
600,HADHB
601,PLK4
602,ENPEP
603,ACE
604,HOXA5
605,SNRPB
606,FBXO25
607,SERPINB2
608,C1QTNF6
609,TTC23L
610,APOBEC3B
611,BRAF
612,AURKA
613,DDC
614,DMXL2
615,GRIN2D
616,CEACAM1
617,TTPA
618,HOXA9
619,PBX3
620,POU2F1
621,PM20D2
622,HBEGF
623,CTNND1
624,MC1R
625,DISP1
626,VLDLR
627,GLI1
628,MKX
629,SDF2L1
630,CASP2
631,F5
632,PLCG1
633,BCCIP
634,TRPV6
635,NPR3
636,NPC1
637,CLCN4
638,TOMM34
639,DLD
640,CHRAC1
641,PCDHA2
642,ADAM9
643,REEP6
644,ITGAL
645,AGAP3
646,LILRB5
647,RHBDD1
648,ATF3
649,CDR2L
650,RAB27A
651,SLC25A4
652,ATXN7L2
653,CCR5
654,ATG7
655,SPAG5
656,STAR
657,EIF4ENIF1
658,MPP7
659,EGFL6
660,GIMAP4
661,CCL7
662,PDGFC
663,AMH
664,EED
665,VWA8
666,TAB1
667,BRIX1
668,POU4F3
669,NUDCD1
670,EIF4EBP3
671,PIEZO1
672,UCP2
673,ATOH1
674,CTNNA1
675,PLD1
676,PLXDC1
677,FIBCD1
678,HAVCR2
679,ANO1
680,ATP7B
681,HNRNPUL1
682,FZD9
683,MAP7
684,F11R
685,MPO
686,EPO
687,CD177
688,RHAG
689,LRP2
690,SERPINB5
691,EPHB4
692,AURKC
693,RANBP3
694,AOC3
695,NME1
696,LTA
697,UGT1A9
698,DAP3
699,C8G
